customer_age,annual_income_k,credit_score,purchase_frequency,avg_transaction_value,days_since_last_purchase,total_return_amount,num_support_tickets,website_visits_30d,email_open_rate_pct,customer_lifetime_value,cancellation_risk_score,customer_segment,payment_method,subscription_tier,country_code,device_type,browser,gender,employment_status,marital_status,education_level,signup_date,last_login,subscription_end_date,customer_feedback,promo_code_used,referral_source,customer_status,timezone,newsletter_subscribed,messy_column_01,messy_column_02,messy_column_03,messy_column_04,messy_column_05,messy_column_06,messy_column_07,messy_column_08,messy_column_09,messy_column_10,messy_column_11,messy_column_12,messy_column_13,messy_column_14,messy_column_15,messy_column_16,messy_column_17,messy_column_18,messy_column_19,messy_column_20,messy_column_21,messy_column_22,messy_column_23,messy_column_24,messy_column_25,messy_column_26,messy_column_27,messy_column_28,messy_column_29,messy_column_30
21.0,39.2,640.0,,,16.0,,8.0,56.0,41.9,100.0,56.0,Standard,,Trial,AU,Mobile,Firefox,FEMALE,n/a,separated,,,2026-03-27 20:20:27,12/03/2026,Too expensive,INVALID,Podcast,Suspended,GMT,,null,N/A,null,,unknown,N/A,value_5,NaN,missing,,???,missing,,NaN,NaN,,N/A,NaN,value_2,N/A,unknown,missing,missing,N/A,missing,unknown,N/A,missing,value_10,value_2
,20.0,728.0,12.0,63.6,40.0,31.75,,3.0,70.1,,86.7,N/A,crypto,basic+,in,???,Chrome,FEMALE,pt,Single,Bachelor's,01/12/2025,2026-04-14 20:20:27,01/16/2027,Terrible support,WELCOME10,Google,,EST,unsubscribed,,null,,NaN,,missing,,???,N/A,,missing,NaN,NaN,,null,NaN,N/A,value_7,,null,,null,missing,,,,missing,,???,
55.0,20.0,660.0,17.0,5.0,1.0,33.56,,1.0,45.4,100.0,76.5,Enterprise,crypto,NULL,IN,Tablet,Opera,M,ft,Widowed,ms,20241226,2026-02-06 20:20:27,20260313,not bad,None,direct,pending,HST,1,null,???,value_10,,value_8,,missing,missing,value_7,,NaN,NaN,NaN,value_5,???,null,value_5,???,value_1,N/A,null,???,N/A,,missing,NaN,,missing,,null
66.0,,,22.0,5.0,6.0,38.72,8.0,3.0,27.1,,86.2,Unknown,crypto,Pro,IT,???,Opera,Non-binary,Unemployed,Married,Some College,20250612,2026-04-12 20:20:27,01/03/2026,Too expensive,INVALID,Podcast,deleted,GMT,false,missing,value_3,null,value_2,NaN,,,unknown,,missing,missing,,???,N/A,,N/A,NaN,missing,value_10,,unknown,missing,NaN,missing,value_10,???,NaN,value_2,NaN,missing
57.0,65.3,684.0,11.0,73.03,9.0,74.25,0.0,3.0,23.3,100.0,50.6,,Bank Transfer,NULL,,Mobile,Opera,FEMALE,n/a,single (never married),Master's,,2026-02-17 20:20:27,"Jan 04, 2026",,WELCOME10,,deleted,,,unknown,N/A,N/A,N/A,N/A,NaN,value_6,unknown,,NaN,,missing,value_2,null,???,N/A,???,value_1,null,NaN,value_7,value_8,N/A,???,,N/A,unknown,NaN,,NaN
57.0,76.9,679.0,12.0,34.4,9.0,,1.0,,34.9,1764.89,2.3,,??,Trial,CA,,null,,Self-employed,Single,hs,20250723,2026-03-08 20:20:27,20260823,👍,,,Inactive,HST,true,,null,???,missing,value_2,unknown,null,null,,,N/A,???,NaN,NaN,???,N/A,,value_2,NaN,,value_4,null,???,,,missing,,???,,
59.0,,761.0,13.0,23.63,2.0,109.43,1.0,1.0,,100.0,,premium (legacy),,Free,N/A,laptop,Chrome,,Full-time,,Some College,17/02/2026,2026-02-08 20:20:27,"Jun 20, 2026",WILL NEVER BUY AGAIN,??,,deleted,MST,,unknown,value_4,unknown,null,,missing,value_3,,value_9,???,null,,,missing,N/A,,N/A,null,unknown,value_5,NaN,unknown,missing,,NaN,unknown,NaN,,null,missing
24.0,27.1,770.0,24.0,30.24,14.0,46.63,1.0,,,,17.1,Premium,PayPal,Pro,US,,chrome mobile,,Unemployed,Married,Associate,2025-04-23,2026-02-01 20:20:27,"May 20, 2026",Could be better,INVALID,unknown,Churned,PST,true,NaN,missing,unknown,NaN,value_8,null,value_10,N/A,N/A,N/A,,,unknown,,,NaN,NaN,missing,???,N/A,missing,,unknown,missing,N/A,null,N/A,missing,???,
44.0,73.7,663.0,13.0,50.14,2.0,103.71,1.0,,47.2,2808.48,4.2,Premium,,Free,UK,Mobile (iOS),chrome mobile,FEMALE,Student,Married,Associate,,2026-04-04 20:20:27,2026-02-26,Terrible support,WELCOME10,,,PST,,null,,missing,missing,,,???,???,???,null,,null,NaN,null,unknown,,N/A,NaN,value_4,unknown,,???,???,,,N/A,missing,null,null,
27.0,99.0,646.0,,12.35,10.0,,,1.0,46.5,1283.16,19.6,,Cash,NULL,AU,laptop,unknown,Prefer not to say,pt,,Master's,20241214,2026-03-25 20:20:27,20261006,,INVALID,Facebook,pending,unknown,1,NaN,value_2,null,N/A,unknown,null,,N/A,???,N/A,NaN,unknown,,???,null,,missing,NaN,N/A,,unknown,null,NaN,N/A,value_7,N/A,null,unknown,missing,N/A
49.0,20.0,722.0,19.0,64.88,1.0,58.74,,12.0,40.7,348.0,85.3,Enterprise,Cash,basic+,US,PC,unknown,M,Self-employed,Widowed,Bachelor's,20240504,invalid date,04/28/2026,👍,WELCOME10,N/A,active?,UTC,No,missing,,null,value_7,value_7,value_6,NaN,value_8,value_3,null,NaN,NaN,null,NaN,N/A,N/A,N/A,NaN,null,unknown,value_4,N/A,,missing,,???,N/A,value_5,N/A,
43.0,122.0,,15.0,146.7,12.0,63.12,7.0,4.0,24.9,2584.56,27.4,,,NULL,,laptop,Chrome,Prefer not to say,Retired,Divorced,Some College,2025-11-06,2026-04-05 20:20:27,NULL,,,direct,pending,AST,true,N/A,null,NaN,value_3,???,unknown,null,???,N/A,NaN,,value_1,value_9,NaN,N/A,null,value_10,unknown,,unknown,N/A,missing,unknown,value_8,missing,N/A,NaN,N/A,,
36.0,20.0,746.0,18.0,,,,,7.0,36.3,530.3,40.5,Budget,Cash,Trial,IT,???,chrome mobile,FEMALE,Part-time,separated,PhD,"Oct 11, 2025",2026-04-17 20:20:27,2026-01-06,null,expired,direct,active?,AST,F,NaN,value_2,value_4,unknown,,,???,null,,NaN,NaN,???,missing,unknown,,missing,???,value_8,unknown,NaN,???,,value_4,missing,NaN,null,NaN,,???,value_3
,87.0,714.0,16.0,8.07,56.0,52.99,,1.0,44.6,100.0,,Budget,??,Enterprise,N/A,laptop,Edge,,ft,,Master's,2025-02-03,2026-03-01 20:20:27,NULL,Could be better,WELCOME10,unknown,active?,AST,1,unknown,???,N/A,value_9,NaN,unknown,N/A,N/A,???,null,N/A,null,value_4,missing,missing,null,missing,null,NaN,N/A,missing,missing,unknown,NaN,,missing,N/A,???,unknown,NaN
,54.5,660.0,11.0,63.22,21.0,,2.0,3.0,38.2,154.14,84.9,,crypto,Enterprise,DE,PC,Opera,MALE,Student,,Associate,20250608,2026-03-20 20:20:27,2026-01-09,not bad,??,Google,,MST,T,NaN,NaN,,,???,unknown,NaN,missing,null,,,???,???,N/A,???,null,missing,value_4,null,,value_7,unknown,,N/A,N/A,null,null,,???,
44.0,110.2,515.0,9.0,18.95,,124.27,,1.0,,530.56,68.4,,Cash,Basic,BR,Desktop,Edge,F,N/A,Married,Associate,2025-10-20,invalid date,2026-09-23,meh,None,N/A,,unknown,subscribed,N/A,,value_10,???,value_4,NaN,null,value_1,,???,NaN,???,null,,,null,N/A,NaN,N/A,???,,NaN,,value_4,NaN,N/A,missing,N/A,unknown,NaN
35.0,112.0,610.0,24.0,22.17,,147.3,1.0,1.0,25.1,,94.5,Standard,Cash,Enterprise,uk,Tablet,Chrome,Prefer not to say,?,Divorced,Master's,"Jul 24, 2025",2026-03-22 20:20:27,NULL,WILL NEVER BUY AGAIN,None,,NULL,unknown,1,N/A,???,unknown,missing,N/A,missing,value_3,unknown,missing,N/A,value_9,???,null,missing,unknown,value_2,value_9,,NaN,unknown,,???,,???,value_3,???,value_3,N/A,value_6,unknown
,24.6,631.0,12.0,73.32,10.0,,,,35.1,100.0,,null,PayPal,Trial,??,???,safari (old),NA,ft,NULL,ms,05/26/2025,invalid date,31/03/2026,★★★★☆,,N/A,Inactive,N/A,F,unknown,???,???,missing,???,missing,,null,missing,NaN,,NaN,NaN,,NaN,unknown,,null,missing,N/A,,unknown,N/A,N/A,N/A,unknown,value_1,value_4,unknown,value_4
,37.7,610.0,12.0,63.89,1.0,,3.0,,13.5,2934.39,,premium (legacy),crypto,Basic,IN,???,unknown,MALE,N/A,NULL,phd,"Nov 22, 2024",2026-01-25 20:20:27,2025-12-26,N/A,??,Email,Inactive,,true,value_2,value_5,,missing,unknown,value_10,,,value_5,value_3,,N/A,missing,,N/A,value_2,,missing,???,NaN,NaN,,unknown,null,NaN,NaN,null,unknown,N/A,unknown
56.0,,710.0,15.0,52.4,17.0,49.92,2.0,1.0,39.5,456.97,3.1,Premium,,Pro,IN,,Chrome,male,Unemployed,single (never married),PhD,20240423,2026-02-22 20:20:27,NULL,,None,Email,NULL,N/A,unsubscribed,null,missing,NaN,unknown,NaN,,N/A,N/A,N/A,???,???,,N/A,???,value_2,value_9,,NaN,???,???,???,missing,null,NaN,,missing,???,,,
64.0,99.6,681.0,16.0,,10.0,,1.0,1.0,,285.22,79.3,Premium,crypto,?,US,Desktop,Opera,female,Student,,hs,11/13/2025,invalid date,NULL,Great product!,WELCOME10,Email,Churned,PST,T,,null,,NaN,,missing,,,,N/A,N/A,???,,,value_4,,N/A,value_6,,NaN,,missing,missing,missing,null,???,value_6,missing,,???
,37.3,690.0,14.0,38.49,29.0,28.73,0.0,1.0,33.8,571.2,72.1,Premium,,Basic,ES,???,safari (old),F,?,Widowed,PhD,01/15/2026,2026-03-02 20:20:27,NULL,Terrible support,,N/A,Inactive,,F,null,N/A,,unknown,missing,unknown,,,missing,value_3,,missing,???,???,missing,,???,missing,null,missing,???,???,NaN,???,unknown,NaN,N/A,missing,???,
49.0,20.0,698.0,16.0,,42.0,157.97,0.0,11.0,27.3,1987.4,89.6,Premium,??,Enterprise,ES,Tablet,Firefox,,Self-employed,Single,,12/05/2024,2026-02-10 20:20:27,2026-02-04,NaN,INVALID,Friend,,unknown,1,,value_2,value_9,null,value_5,missing,NaN,,value_5,null,,???,unknown,unknown,missing,value_1,,N/A,???,???,,value_9,???,N/A,value_2,N/A,NaN,null,value_6,???
55.0,43.6,678.0,14.0,257.03,4.0,104.58,0.0,,32.8,,48.2,Budget,NA,Trial,UK,Tablet,safari (old),FEMALE,Student,NULL,Some College,2024-04-26,2026-03-14 20:20:27,2026-01-18,Could be better,INVALID,direct,active?,CST,subscribed,value_1,,,N/A,,value_1,unknown,NaN,unknown,,???,???,NaN,,value_9,,???,unknown,missing,NaN,missing,,missing,N/A,NaN,value_4,,,null,N/A
