booking_id,airline,source_city,destination_city,ticket_class,stops,date_of_booking,dep_time,duration,days_until_flight,ticket_price,app_name,app_category,app_rating,reviews,app_size,installs,app_price,content_rating,last_updated,supported_device
BK05365,Emirates,Peshawar,New York,Economy,1 stop,13/03/2022,16:45,10h 10m,,16565,Gregory Inc App,Social,1.2,3653704,56.1M,"5,000,000+",$1.49,Everyone,"January 5, 2022",iOS
BK06261,FlyJinnah,Karachi,Toronto,Business,1 stop,26/06/2024,00:15,3h 45m,6,75670,Hutchinson Ltd App,Education,1.5,1886603,680k,"500,000+",0,Everyone,"March 3, 2020",Both
BK00274,Turkish Airlines,Quetta,New York,First,1 stop,17/10/2024,21:10,,8,165570,Chan and Sons App,Education,4.4,2234772,768k,"50,000+",$1.49,Teen,"August 6, 2024",Both
BK04916,AirBlue,Peshawar,Dubai,Economy,2 stops,15/09/2022,10:45,3h,79,16949,Smith-Green App,Lifestyle,2.0,1661045,52.1M,"50,000+",$2.99,Mature 17+,"March 1, 2022",iOS
BK06581,AirBlue,Multan,London,Economy,non-stop,15/03/2024,12:00,10h 45m,156,31705,Bonilla Group App,Social,4.6,1228852,63.8M,"100,000+",0,Teen,"January 1, 2023",iOS
BK02530,Emirates,Quetta,London,Economy,2 stops,13/05/2023,03:20,16h,108,31641,Villarreal-Joseph App,Health,2.3,2974174,870k,"1,000+",0,Everyone,"August 26, 2024",Both
BK02854,AirBlue,Multan,Dubai,Economy,1 stop,16/10/2023,03:20,14h 50m,64,15984,Ball-Williams App,Social,2.8,3801058,92.9M,"50,000+",0,Everyone,"May 25, 2024",Both
BK04679,AirBlue,Multan,Toronto,Business,1 stop,01/10/2023,08:45,,67,81130,"Cruz, Johnson and Wilson App",Finance,3.8,4787962,,,0,Everyone,"June 12, 2024",iOS
BK04393,PIA,Multan,Kuala Lumpur,Business,non-stop,24/06/2023,17:45,8h 50m,152,79373,Foster and Sons App,Travel,1.5,4335469,25.6M,"10,000+",0,Everyone,"August 4, 2023",Both
BK02271,FlyJinnah,Islamabad,Istanbul,Economy,1 stop,17/09/2024,12:00,4h 50m,97,23212,Joseph-Perry App,Entertainment,2.2,1514973,553k,"50,000+",0,Everyone,"April 5, 2021",Android
BK07233,AirBlue,Karachi,London,Economy,non-stop,27/03/2023,01:00,,148,25391,Green Inc App,Finance,2.9,2164488,18.1M,"5,000+",0,Everyone,"September 28, 2021",Android
BK02579,Turkish Airlines,Multan,New York,Economy,2 stops,01/08/2022,06:50,12h 50m,58,19301,"Baldwin, Vasquez and Petersen App",Travel,,1916915,62.3M,"10,000+",0,Adults Only 18+,"January 19, 2023",Android
BK02030,SereneAir,Islamabad,Dubai,Economy,non-stop,05/01/2024,11:50,3h 50m,120,18708,"Snyder, Hill and Williams App",Business,3.8,199872,49.4M,"50,000+",0,Everyone,"May 16, 2023",iOS
BK02824,Emirates,Islamabad,Toronto,Economy,non-stop,07/08/2021,12:45,11h 20m,88,14197,Williams and Sons App,Social,1.4,2575029,972k,"50,000+",0,Everyone,"February 13, 2021",iOS
BK02190,Turkish Airlines,Lahore,Istanbul,Economy,1 stop,21/11/2024,13:00,13h 30m,99,11703,"Gibson, Murray and Gray App",Finance,1.5,2524931,12.5M,"50,000+",0,Everyone,"April 12, 2021",Both
BK05457,Turkish Airlines,Islamabad,Istanbul,Business,non-stop,08/08/2022,21:00,3h 30m,33,87178,Diaz-Hale App,Finance,2.8,3646188,262k,"100,000+",0,Teen,"November 10, 2024",Android
BK06921,PIA,Islamabad,Kuala Lumpur,First,1 stop,17/07/2022,13:45,10h 15m,26,163499,Nguyen PLC App,Social,2.6,,11.9M,"50,000+",$4.99,Everyone,"April 5, 2020",Both
BK01468,Turkish Airlines,Islamabad,Kuala Lumpur,Economy,1 stop,06/08/2023,02:15,,134,5000,Brennan-Contreras App,Entertainment,2.6,2452173,107k,"500,000+",$2.99,Teen,"November 13, 2021",iOS
