age,income,loan_amount,credit_score,employment_years,num_prev_loans,missed_payments,debt_to_income,loan_duration,interest_rate,default
56,16920,243697,547,26,2,5,0.81,48,8.0,0
69,121121,352328,572,21,3,3,0.21,48,9.71,0
46,91872,10435,648,1,3,3,0.81,60,3.79,0
32,96132,144565,783,3,5,11,0.57,48,11.77,0
60,17093,208299,849,17,0,10,0.29,48,21.36,0
25,27905,326465,656,8,0,11,0.3,24,23.15,0
38,136759,400979,617,18,1,8,0.4,24,8.2,0
56,170423,287533,347,25,3,13,0.46,60,8.85,0
36,45981,36498,309,9,6,3,0.12,60,7.86,0
40,88903,330899,532,21,5,12,0.81,48,10.7,0
28,85821,368689,335,14,8,5,0.16,36,20.7,0
28,124200,40825,712,0,6,13,0.49,36,17.23,0
41,97289,284078,761,28,4,12,0.39,12,20.29,0
53,131506,10574,303,10,5,8,0.51,36,15.83,1
57,93513,135698,343,13,9,2,0.85,36,8.67,0
41,165946,174251,554,9,8,6,0.94,24,8.02,0
20,197003,399803,413,18,0,6,0.07,12,3.2,1
39,153746,47782,696,23,8,0,0.4,12,20.18,0
19,65516,452628,473,20,5,10,0.79,24,21.64,1
41,84212,65561,554,15,3,1,0.34,36,19.9,0
61,148498,475440,765,7,4,4,0.63,36,4.64,0
47,145970,402625,576,1,0,7,0.94,12,19.77,1
55,105009,394303,763,22,6,5,0.63,36,4.01,0
19,176015,469535,801,24,7,13,0.15,12,5.32,0
38,59816,497232,740,6,4,13,0.81,36,12.69,1
50,19138,31751,368,18,1,12,0.92,48,13.48,1
29,106176,305318,808,6,7,12,0.69,24,20.95,1
39,90945,389822,625,14,9,6,0.43,60,17.95,0
61,19017,61572,366,7,6,14,0.9,48,6.37,1
42,25451,328560,603,13,9,14,0.92,36,7.98,1
66,108863,410257,783,0,8,2,0.89,60,9.28,0
44,25278,421443,847,28,3,5,0.42,48,5.72,0
59,58764,302345,716,12,8,8,0.76,24,9.33,1
45,138030,41069,458,2,3,2,0.64,60,19.03,0
33,147206,218262,448,20,2,13,0.21,60,8.31,1
32,77943,293514,326,27,2,12,0.53,24,21.38,1
64,110667,231090,547,5,9,12,0.72,48,13.33,0
68,69318,392486,400,18,1,12,0.86,60,10.1,1
61,118423,263245,395,14,9,5,0.83,24,12.07,1
69,118998,409802,683,3,2,6,0.19,48,18.61,0
20,75128,186303,581,20,7,4,0.49,36,14.37,0
54,36869,392902,621,2,7,9,0.48,12,3.16,0
68,20039,403538,695,3,1,12,0.86,36,23.29,1
24,167353,332438,577,4,1,7,0.05,36,4.45,0
38,127935,84468,828,17,1,7,0.71,12,23.65,0
26,25442,165371,562,25,9,5,0.61,36,3.62,0
56,88788,95715,592,24,6,6,0.88,36,19.96,0
35,134729,75793,593,9,5,2,0.46,24,14.76,0
21,42586,444717,694,7,0,12,0.64,24,14.13,1
42,68053,193206,812,11,1,6,0.93,48,4.6,0
31,196561,116672,479,21,0,6,0.72,60,8.25,1
67,101346,407993,534,25,6,3,0.11,48,20.11,0
26,82087,147321,636,26,5,9,0.2,24,22.61,0
43,158697,125902,307,2,1,13,0.79,24,14.64,1
19,49397,26390,742,26,1,12,0.35,12,10.77,0
37,73671,25369,838,17,1,3,0.69,12,4.32,0
45,131214,148953,390,22,7,13,0.68,24,18.01,1
64,81897,276731,571,7,6,2,0.94,36,9.13,0
24,172221,229872,304,25,0,9,0.47,48,4.21,0
61,151355,472543,518,0,3,6,0.71,24,17.65,1
25,153682,374153,417,13,3,4,0.09,24,13.69,0
64,189398,486127,414,21,6,2,0.47,12,3.26,0
52,29924,486363,562,22,1,5,0.22,48,5.44,0
31,128143,243634,605,12,3,11,0.81,48,18.38,0
34,125253,406049,721,24,0,5,0.81,60,4.4,0
53,115297,52013,506,11,3,5,0.26,24,22.05,0
67,15869,122341,602,2,0,1,0.34,60,9.85,0
