age,annual_income,spending_score,purchase_frequency,avg_transaction,days_since_purchase,loyalty_points,estimated_ltv
26,28098.0,35.0,3.2,509.13,72,873,1495.76
51,156981.0,78.2,12.5,2979.87,9,3806,37663.85
26,21354.0,17.7,3.6,481.57,55,695,1979.52
37,72122.0,62.6,5.7,1043.07,35,1773,5670.14
26,25745.0,14.6,2.2,562.84,17,617,1189.73
42,108757.0,75.8,12.4,2104.37,10,2739,25790.59
28,29509.0,18.5,5.0,459.25,60,904,3187.96
18,30846.0,26.7,5.0,397.5,56,879,2197.73
25,33805.0,22.3,4.3,290.77,64,852,1798.4
29,29367.0,23.1,5.3,216.38,63,864,1124.9
20,27778.0,33.1,4.6,417.04,44,879,2170.07
43,62144.0,58.1,9.9,1677.85,15,1507,16683.09
37,118317.0,93.6,9.7,2973.29,7,2740,28671.34
28,36243.0,27.5,3.8,405.66,62,839,966.62
39,108917.0,71.0,7.9,3862.64,4,2449,30686.28
42,50230.0,44.8,11.0,1554.63,34,1610,17657.35
24,25878.0,20.0,2.3,355.67,73,660,1082.83
34,70954.0,58.7,7.9,1322.8,28,1703,10619.74
40,54357.0,49.4,6.3,1021.96,19,1304,6723.47
29,28050.0,37.0,5.7,309.61,68,871,614.47
30,27799.0,21.5,3.3,455.62,58,899,1956.61
52,141488.0,86.5,14.4,3097.19,5,3544,44348.71
57,158852.0,97.1,12.6,3313.75,4,3835,41811.69
42,69735.0,53.3,6.2,954.43,30,1688,5574.77
37,68936.0,46.5,9.3,782.85,32,1843,8201.14
41,63214.0,50.0,2.9,1378.65,17,1234,3565.3
23,27951.0,11.5,2.2,344.25,62,599,1405.16
51,135069.0,82.8,14.1,2856.64,5,3412,39978.85
49,146753.0,84.3,12.4,3265.35,7,3819,41781.49
48,68662.0,55.8,7.6,1542.63,17,1818,11306.42
21,29159.0,26.6,0.0,386.15,85,540,0.0
49,151933.0,86.8,13.1,3102.15,6,3676,40360.63
28,26223.0,34.7,3.3,502.41,76,681,793.27
34,64427.0,59.6,7.1,693.55,40,1563,4541.14
53,128622.0,89.5,11.3,3076.12,10,3049,33998.98
49,132874.0,84.2,13.3,2692.76,15,3247,35921.22
19,36370.0,35.8,1.9,441.38,46,816,1513.65
49,73282.0,61.1,12.8,1127.99,22,2067,14416.24
43,71325.0,45.7,6.2,1190.61,36,1722,6881.57
40,24676.0,17.8,5.9,374.92,45,791,2913.47
20,29607.0,20.7,4.1,307.93,73,721,1592.89
28,25692.0,23.3,4.1,473.49,86,740,1406.83
33,72899.0,65.7,7.6,882.67,24,2026,6818.37
41,143987.0,79.8,15.9,4074.07,12,3734,65225.46
51,162761.0,86.7,16.6,3465.51,10,4050,56859.05
41,124954.0,89.2,17.4,3320.62,5,3382,57227.19
28,31022.0,13.1,3.5,492.78,59,542,1396.27
33,56199.0,69.6,10.6,1380.37,7,1544,14348.72
42,58356.0,63.5,9.0,816.24,29,1663,7259.56
55,146055.0,86.8,10.9,3565.5,9,3446,39023.33
36,64903.0,58.9,8.4,1106.29,21,1622,9521.2
33,65167.0,54.3,7.1,1127.86,28,1796,7597.47
41,61864.0,64.0,4.7,735.52,25,1325,2988.89
25,29354.0,45.2,3.3,472.24,39,655,1400.19
22,27188.0,44.6,0.8,458.64,68,743,0.0
28,24370.0,26.6,3.7,616.5,73,684,2154.88
24,22480.0,32.9,0.8,369.75,66,454,156.49
38,68407.0,52.2,9.1,1460.43,29,2135,13856.01
36,58043.0,49.5,12.0,1096.6,27,1768,13642.41
41,60792.0,48.5,7.6,1464.68,16,1442,10733.96
19,26116.0,23.0,5.8,335.07,51,886,1949.23
43,52215.0,54.9,9.2,745.51,12,1341,7087.81
39,119667.0,82.5,5.5,2499.96,11,2764,13366.07
47,63487.0,65.2,6.8,1172.33,22,1517,7700.31
27,28194.0,35.0,2.1,367.73,58,757,147.52
25,24498.0,25.2,4.4,520.04,68,720,2241.69
47,160229.0,76.0,18.4,3273.47,5,4209,60059.71
38,71712.0,47.7,7.6,785.84,19,1896,5028.55
39,70723.0,66.2,6.5,1072.55,16,1754,6692.18
40,72373.0,75.9,6.9,975.84,22,1737,6664.76
42,144405.0,100.0,9.8,3242.25,7,3487,31902.62
26,64611.0,62.3,8.6,1419.11,15,1760,12077.87
40,116789.0,87.8,14.6,2684.02,6,2925,39283.54
38,70927.0,65.2,8.7,1054.1,22,1895,9591.62
22,34514.0,27.0,1.2,338.66,46,643,0.0
38,134675.0,90.4,15.2,2793.59,6,3549,41745.91
45,66972.0,62.4,6.4,1116.78,12,1711,6822.66
44,58534.0,55.6,8.4,1045.59,21,1440,8511.52
23,30077.0,20.4,4.0,455.83,60,796,2256.14
56,120877.0,84.5,16.4,3162.06,11,3254,51878.17
41,70350.0,46.4,8.5,953.03,16,1746,7806.3
26,34580.0,30.0,4.5,547.12,84,818,1544.12
42,69005.0,56.9,6.8,1451.86,30,1842,10325.14
25,28896.0,23.0,2.0,388.88,61,707,648.91
45,120885.0,96.0,17.0,3171.05,9,3389,53757.98
39,99888.0,100.0,17.3,3257.91,3,2743,57448.82
50,62140.0,72.2,6.7,1235.09,35,1509,8409.71
43,68696.0,48.7,7.0,1532.64,21,1891,10518.73
23,28397.0,25.7,3.3,552.85,71,772,473.63
38,76588.0,35.4,8.2,1538.86,27,1878,12186.97
48,52193.0,57.9,8.5,1489.77,23,1430,12913.63
47,73777.0,47.2,5.7,1392.98,28,1844,8164.98
38,107497.0,88.9,11.0,2988.12,7,2646,32823.26
54,133478.0,92.0,13.9,3129.24,4,3298,43622.47
