iter	Passed	Remaining
0	8	8109
1	8	4358
2	9	3093
3	9	2448
4	10	2055
5	10	1787
6	11	1603
7	11	1463
8	12	1353
9	12	1265
10	13	1194
11	13	1134
12	14	1083
13	16	1162
14	17	1116
15	17	1076
16	18	1041
17	18	1008
18	18	979
19	19	953
20	19	929
21	20	907
22	20	888
23	21	870
24	21	853
25	22	837
26	22	822
27	23	808
28	23	796
29	24	784
30	24	773
31	25	762
32	25	752
33	26	743
34	26	733
35	27	725
36	27	717
37	28	711
38	28	705
39	29	699
40	29	692
41	30	687
42	30	681
43	31	675
44	31	670
45	32	665
46	32	659
47	33	654
48	33	650
49	33	645
50	34	642
51	34	637
52	35	633
53	35	629
54	36	625
55	36	622
56	37	618
57	37	614
58	38	611
59	38	607
60	39	604
61	39	601
62	40	597
63	40	594
64	41	591
65	41	589
66	42	586
67	42	583
68	43	581
69	43	578
70	44	576
71	44	573
72	45	571
73	45	569
74	45	567
75	46	564
76	46	562
77	47	562
78	48	560
79	48	558
80	49	556
81	49	554
82	49	549
83	50	547
84	50	545
85	51	548
86	52	546
87	52	544
88	53	542
89	53	540
90	53	538
91	54	536
92	54	535
93	55	533
94	55	531
95	56	530
96	56	528
97	57	526
98	58	528
99	58	526
100	58	525
101	59	523
102	59	522
103	60	520
104	60	519
105	61	517
106	61	516
107	62	515
108	63	520
109	64	520
110	64	519
111	65	517
112	65	516
113	66	514
114	66	513
115	67	512
116	67	510
117	68	508
118	68	507
119	69	506
120	69	504
121	69	502
122	70	501
123	70	500
124	71	499
125	71	498
126	72	496
127	73	497
128	73	498
129	74	498
130	74	497
131	75	496
132	75	495
133	76	494
134	76	493
135	77	492
136	77	491
137	78	489
138	78	489
139	79	487
140	79	486
141	80	484
142	80	483
143	81	482
144	81	481
145	82	481
146	82	480
147	83	479
148	83	478
149	84	477
150	84	476
151	85	475
152	85	474
153	86	473
154	86	472
155	87	471
156	87	470
157	88	469
158	88	468
159	89	468
160	89	466
161	89	465
162	90	464
163	90	463
164	91	462
165	91	461
166	92	460
167	92	460
168	93	459
169	93	458
170	94	457
171	94	456
172	95	455
173	95	455
174	96	454
175	96	453
176	97	452
177	97	451
178	98	450
179	98	449
180	99	448
181	99	447
182	100	446
183	100	446
184	101	445
185	101	444
186	101	443
187	102	442
188	102	441
189	103	441
190	104	441
191	104	440
192	105	439
193	105	439
194	106	438
195	106	437
196	107	436
197	107	435
198	108	435
199	108	434
200	109	433
201	109	432
202	109	431
203	110	431
204	110	430
205	111	429
206	111	428
207	112	427
208	112	426
209	113	426
210	113	425
211	114	424
212	114	423
213	115	423
214	115	422
215	116	421
216	116	420
217	117	420
218	117	419
219	118	419
220	118	418
221	119	417
222	119	417
223	120	416
224	120	415
225	121	414
226	121	414
227	122	413
228	122	412
229	123	411
230	123	411
231	124	410
232	124	410
233	125	409
234	125	408
235	125	407
236	126	406
237	126	406
238	127	405
239	127	404
240	128	403
241	128	403
242	129	402
243	129	402
244	130	401
245	130	400
246	131	400
247	131	399
248	132	398
249	132	398
250	133	397
251	133	396
252	134	397
253	134	396
254	135	395
255	136	395
256	136	394
257	137	394
258	137	393
259	137	392
260	138	391
261	138	391
262	139	390
263	139	389
264	140	389
265	140	388
266	141	387
267	141	387
268	142	386
269	142	385
270	143	385
271	143	384
272	144	383
273	144	383
274	145	382
275	145	381
276	146	381
277	146	380
278	147	380
279	147	379
280	148	379
281	148	378
282	149	378
283	149	377
284	150	376
285	150	376
286	151	375
287	151	374
288	152	374
289	152	373
290	153	373
291	153	372
292	154	371
293	154	371
294	155	370
295	155	370
296	156	369
297	156	368
298	157	368
299	157	367
300	158	367
301	158	366
302	159	366
303	159	365
304	160	364
305	160	364
306	161	363
307	161	363
308	162	362
309	162	361
310	163	361
311	163	360
312	164	360
313	164	359
314	165	359
315	165	358
316	166	358
317	166	357
318	167	356
319	167	356
320	168	355
321	168	354
322	169	354
323	169	353
324	170	353
325	170	352
326	171	352
327	171	351
328	172	351
329	172	350
330	173	349
331	173	349
332	174	348
333	174	347
334	175	347
335	175	346
336	175	346
337	176	345
338	176	345
339	177	344
340	177	343
341	178	343
342	178	342
343	179	342
344	179	341
345	180	340
346	180	340
347	181	339
348	182	339
349	182	339
350	183	338
351	183	337
352	184	337
353	184	336
354	185	336
355	185	335
356	186	335
357	186	334
358	187	333
359	187	333
360	188	333
361	188	332
362	189	332
363	189	331
364	190	330
365	190	330
366	191	329
367	191	329
368	192	328
369	192	327
370	193	327
371	193	326
372	194	326
373	194	325
374	195	325
375	195	324
376	196	324
377	196	323
378	197	322
379	197	322
380	198	321
381	198	321
382	199	320
383	199	320
384	199	319
385	200	318
386	200	318
387	201	317
388	201	317
389	202	316
390	202	316
391	203	315
392	203	314
393	204	314
394	204	313
395	205	313
396	205	312
397	206	312
398	206	311
399	207	311
400	207	310
401	208	309
402	208	309
403	209	308
404	209	308
405	210	307
406	210	306
407	211	306
408	211	305
409	212	305
410	212	304
411	213	304
412	213	303
413	214	303
414	214	302
415	214	301
416	215	301
417	215	300
418	216	300
419	216	299
420	217	298
421	217	298
422	218	297
423	218	297
424	219	296
425	219	296
426	220	295
427	220	295
428	221	294
429	221	293
430	222	293
431	222	292
432	223	292
433	223	291
434	224	291
435	224	290
436	225	290
437	225	289
438	226	289
439	226	288
440	227	287
441	227	287
442	228	286
443	228	286
444	228	285
445	229	285
446	230	284
447	230	284
448	230	283
449	231	282
450	231	282
451	232	281
452	232	281
453	233	280
454	233	280
455	234	279
456	234	279
457	235	278
458	235	277
459	236	277
460	236	276
461	237	276
462	237	275
463	238	275
464	238	274
465	239	274
466	239	273
467	240	273
468	240	272
469	241	272
470	241	271
471	242	271
472	242	270
473	243	269
474	243	269
475	244	268
476	244	268
477	245	267
478	245	267
479	246	266
480	246	266
481	247	265
482	247	265
483	248	264
484	248	263
485	249	263
486	249	262
487	250	262
488	250	261
489	251	261
490	251	260
491	251	260
492	252	259
493	252	259
494	253	258
495	254	258
496	254	257
497	255	257
498	255	256
499	256	256
500	256	255
501	257	254
502	257	254
503	257	253
504	258	253
505	258	252
506	259	252
507	259	251
508	260	251
509	260	250
510	261	250
511	261	249
512	262	249
513	262	248
514	263	247
515	263	247
516	264	246
517	264	246
518	265	245
519	265	245
520	266	244
521	266	244
522	267	243
523	267	243
524	268	242
525	268	242
526	269	241
527	269	240
528	270	240
529	270	239
530	271	239
531	271	238
532	272	238
533	272	237
534	273	237
535	273	237
536	274	236
537	274	235
538	275	235
539	275	234
540	276	234
541	276	233
542	277	233
543	277	232
544	278	232
545	278	231
546	279	231
547	279	230
548	280	230
549	280	229
550	281	229
551	281	228
552	282	228
553	282	227
554	283	227
555	283	226
556	284	226
557	284	225
558	285	224
559	285	224
560	286	223
561	286	223
562	287	222
563	287	222
564	287	221
565	288	221
566	288	220
567	289	220
568	289	219
569	290	219
570	290	218
571	291	218
572	291	217
573	292	216
574	292	216
575	293	215
576	293	215
577	294	214
578	294	214
579	295	213
580	296	213
581	296	213
582	297	212
583	297	212
584	298	211
585	299	211
586	299	210
587	300	210
588	300	209
589	301	209
590	301	208
591	302	208
592	302	207
593	303	207
594	303	206
595	304	206
596	304	205
597	305	205
598	305	204
599	306	204
600	306	203
601	307	203
602	307	202
603	308	202
604	308	201
605	309	201
606	309	200
607	310	199
608	310	199
