iter	Passed	Remaining
0	52	52373
1	53	26481
2	54	17984
3	55	13737
4	56	11195
5	57	9474
6	57	8183
7	58	7284
8	59	6571
9	60	5995
10	61	5538
11	62	5148
12	63	4815
13	64	4539
14	65	4291
15	66	4079
16	67	3889
17	68	3717
18	69	3573
19	70	3438
20	71	3315
21	72	3202
22	73	3106
23	74	3010
24	75	2927
25	75	2844
26	76	2773
27	77	2702
28	78	2636
29	79	2575
30	80	2521
31	81	2468
32	82	2418
33	83	2370
34	84	2322
35	85	2278
36	85	2237
37	86	2198
38	87	2160
39	88	2125
40	89	2091
41	90	2061
42	91	2033
43	92	2005
44	93	1980
45	94	1955
46	95	1931
47	96	1908
48	96	1880
49	97	1858
50	98	1838
51	99	1817
52	100	1796
53	101	1776
54	102	1757
55	103	1738
56	103	1720
57	104	1702
58	105	1685
59	106	1670
60	107	1657
61	108	1644
62	109	1630
63	110	1617
64	111	1606
65	112	1592
66	113	1579
67	113	1557
68	115	1556
69	115	1539
70	116	1523
71	116	1506
72	117	1489
73	117	1473
74	118	1458
75	118	1443
76	119	1428
77	119	1414
78	120	1400
79	120	1387
80	121	1373
81	121	1360
82	122	1348
83	122	1335
84	122	1321
85	123	1310
86	123	1296
87	124	1285
88	124	1274
89	124	1263
90	125	1253
91	125	1243
92	126	1233
93	126	1223
94	127	1213
95	127	1203
96	128	1194
97	128	1185
98	129	1176
99	129	1167
100	130	1158
101	130	1147
102	130	1139
103	131	1131
104	131	1123
105	132	1115
106	132	1108
107	133	1100
108	133	1092
109	134	1085
110	134	1078
111	135	1071
112	135	1063
113	135	1056
114	136	1050
115	136	1042
116	137	1036
117	137	1029
118	138	1022
119	138	1016
120	139	1010
121	139	1004
122	139	996
123	140	990
124	140	985
125	141	979
126	141	974
127	142	967
128	142	962
129	143	957
130	143	951
131	143	946
132	144	941
133	144	936
134	145	931
135	145	926
136	146	921
137	146	915
138	147	911
139	147	906
140	148	902
141	148	897
142	148	892
143	149	888
144	149	883
145	150	879
146	150	875
147	151	870
148	151	866
149	152	862
150	152	858
151	153	854
152	153	851
153	154	847
154	154	843
155	155	839
156	155	835
157	156	831
158	156	828
159	157	824
160	157	820
161	157	817
162	158	813
163	158	810
164	159	806
165	159	803
166	160	799
167	160	796
168	161	792
169	161	789
170	162	786
171	162	782
172	163	779
173	163	776
174	164	773
175	164	770
176	164	766
177	165	763
178	165	760
179	166	757
180	166	753
181	167	750
182	167	747
183	167	744
184	168	741
185	168	739
186	169	736
187	169	733
188	170	730
189	170	728
190	171	725
191	171	722
192	172	720
193	172	717
194	173	715
195	173	712
196	174	709
197	174	707
198	175	704
199	175	702
200	175	699
201	176	697
202	176	694
203	177	692
204	177	689
205	178	687
206	178	684
207	179	682
208	179	680
209	180	677
210	180	675
211	181	673
212	181	670
213	181	668
214	182	666
215	182	663
216	183	661
217	183	659
218	184	657
219	184	655
220	185	653
221	185	651
222	186	649
223	186	647
224	187	645
225	187	642
226	188	640
227	188	638
228	189	636
229	189	634
230	190	632
231	190	630
232	190	628
233	191	626
234	191	624
235	192	622
236	192	620
237	193	618
238	193	616
239	194	614
240	194	612
241	195	611
242	195	609
243	196	607
244	196	605
245	196	603
246	197	601
247	197	600
248	198	598
249	198	596
250	199	594
251	199	593
252	200	591
253	200	590
254	201	588
255	201	586
256	202	584
257	202	583
258	203	581
259	203	579
260	204	578
261	204	576
262	205	574
263	205	573
264	206	571
265	206	570
266	207	568
267	207	566
268	208	565
269	208	563
270	208	562
271	209	560
272	209	558
273	210	557
274	210	555
275	211	554
276	211	552
277	212	551
278	212	549
279	213	548
280	213	546
281	214	545
282	214	543
283	215	542
284	215	540
285	216	539
286	216	537
287	217	536
288	217	535
289	217	533
290	218	532
291	218	530
292	219	529
293	219	527
294	220	526
295	220	525
296	221	523
297	221	522
298	222	521
299	222	519
300	223	518
301	223	516
302	224	515
303	224	514
304	225	512
305	225	511
306	226	510
307	226	509
308	227	507
309	227	506
310	228	505
311	228	503
312	229	502
313	229	501
314	229	500
315	230	498
316	230	497
317	231	496
318	231	494
319	232	493
320	232	492
321	233	490
322	233	489
323	234	488
324	234	487
325	235	485
326	235	484
327	235	483
328	236	482
329	236	480
330	237	479
331	237	478
332	238	477
333	238	475
334	239	474
335	239	473
336	240	472
337	240	471
338	241	470
339	241	468
340	242	468
341	242	467
342	243	466
343	243	465
344	244	463
345	244	462
346	245	461
347	245	460
348	246	459
349	246	458
350	247	456
351	247	455
352	248	454
353	248	453
354	248	452
355	249	451
356	249	450
357	250	448
358	250	447
359	251	446
360	251	445
361	252	444
362	252	443
363	253	442
364	253	441
365	254	440
366	254	438
367	254	437
368	255	436
369	255	435
370	256	434
371	256	433
372	257	432
373	257	431
374	258	430
375	258	429
376	259	428
377	259	427
378	260	426
379	260	425
380	261	424
381	261	423
382	262	422
383	262	421
384	263	420
385	263	419
386	263	418
387	264	417
388	264	416
389	265	415
390	265	414
391	266	413
392	266	412
393	267	411
394	267	410
395	268	409
396	268	408
397	269	407
398	269	406
399	270	405
400	270	404
401	271	403
402	271	402
403	272	401
404	272	400
405	272	399
406	273	398
407	273	397
408	274	396
409	274	395
410	275	394
411	275	393
412	276	392
413	276	391
414	277	390
415	277	389
416	278	388
417	278	387
418	279	386
419	279	385
420	280	385
421	280	384
422	281	383
423	281	382
424	282	381
425	282	380
426	283	379
427	283	379
428	284	378
429	284	377
430	285	376
431	285	375
432	286	374
433	286	373
434	286	372
435	287	371
436	287	370
437	288	370
438	288	369
439	289	368
440	289	367
441	290	366
442	290	365
443	291	364
444	291	363
445	292	362
446	292	362
447	293	361
448	293	360
449	294	359
450	294	358
451	295	357
452	295	356
453	295	355
454	296	355
455	296	354
456	297	353
457	297	352
458	298	351
459	298	350
460	299	349
461	299	348
462	300	348
463	300	347
464	301	346
465	301	345
466	302	344
467	302	343
468	302	343
469	303	342
470	303	341
471	304	340
472	304	339
473	305	338
474	305	338
475	306	337
476	306	336
477	307	335
478	307	334
479	308	333
480	308	333
481	309	332
482	309	331
483	310	330
484	310	329
485	310	328
486	311	328
487	311	327
488	312	326
489	312	325
490	313	324
491	313	323
492	314	323
493	314	322
494	315	321
495	315	320
496	316	319
497	316	319
498	317	318
499	317	317
500	317	316
501	318	315
502	318	315
503	319	314
504	319	313
505	320	312
506	320	311
507	321	311
508	321	310
509	322	309
510	322	308
511	323	307
512	323	307
513	324	306
514	324	305
515	325	304
516	325	304
517	325	303
518	326	302
519	326	301
520	327	300
521	327	300
522	328	299
523	328	298
524	329	298
525	329	297
526	330	296
527	330	295
528	331	295
529	331	294
530	332	293
531	332	292
532	333	291
533	333	291
534	334	290
535	334	289
536	335	288
537	335	288
538	335	287
539	336	286
540	336	285
541	337	285
542	337	284
543	338	283
544	338	282
545	339	281
546	339	281
547	340	280
548	340	279
549	340	278
550	341	278
551	341	277
552	342	276
553	342	276
554	343	275
555	343	274
556	344	273
557	344	273
558	345	272
559	345	271
560	346	270
561	346	270
562	347	269
563	347	268
564	348	268
565	348	267
566	349	266
567	349	265
568	350	265
569	350	264
570	350	263
571	352	263
572	353	263
573	353	262
574	354	261
575	354	260
576	355	260
577	355	259
578	356	258
579	356	258
580	356	257
581	357	256
582	358	256
583	358	255
584	359	254
585	359	254
586	360	253
587	360	252
588	360	251
589	361	251
590	361	250
591	362	249
592	362	248
593	362	248
594	363	247
595	363	246
596	364	245
597	364	245
598	364	244
599	365	243
600	365	242
601	366	242
602	366	241
603	366	240
604	367	239
605	367	238
606	367	238
607	368	237
608	368	236
609	369	235
610	369	235
611	369	234
612	370	233
613	370	232
614	371	232
615	371	231
616	371	230
617	372	230
618	372	229
619	373	228
620	373	228
621	374	227
622	374	226
623	374	225
624	375	225
625	375	224
626	376	223
627	376	222
628	376	222
629	377	221
630	377	220
631	377	220
632	378	219
633	378	218
634	379	217
635	379	217
636	379	216
637	380	215
638	380	215
639	381	214
640	381	213
641	381	212
