Name,Village,Rank,Clan,Power_Level
Minato Namikaze,LEAF,Kage,,
Obito Uchiha,sand,,Uchiha,82
Sasuke Uchiha,sand,genin,Senju,
Shikamaru Nara,Sand,Rogue,uchiha,??
Sasuke Uchiha,Leaf,Jonin,Uchiha,72
Shikamaru Nara,LEAF,,Uzumaki,150
Hashirama Senju, leaf,Jonin,Uzumaki,-5
Shikamaru Nara,,Rogue,,
Hashirama Senju,Leaf,genin,Nara,
Obito Uchiha,,genin,Uzumaki,77
Tobirama Senju,LEAF,Kage,Nara,150
Hashirama Senju, leaf,Genin,Uzumaki,150
Tsunade,sand,genin,,-5
Killer Bee,Mist,Genin,Hyuga,150
Killer Bee,Leaf,Rogue,Uzumaki,
Hashirama Senju,,,Uchiha,??
Jiraiya,,Kage,Nara,150
Madara Uchiha, leaf,Rogue,None,
Killer Bee,Cloud,Jonin,None,100
Itachi Uchiha,Cloud,Rogue,Hyuga,-5
Hinata Hyuga,LEAF,Genin,uchiha,
Shikamaru Nara,Mist,ANBU,uchiha,-5
Naruto Uzumaki,Cloud,,Uchiha,
Sakura Haruno,,ANBU,Senju,??
Naruto Uzumaki,Mist,genin,Uchiha,
Sakura Haruno,LEAF,Rogue,Nara,100
Kakashi Hatake,,Rogue,None,??
Might Guy,Sand,Genin,Uchiha,??
Tobirama Senju,LEAF,Chunin,,150
Orochimaru,Leaf,ANBU,,-5
Hashirama Senju,Mist,Genin,uchiha,100
Kakashi Hatake,sand,Genin,None,
Neji Hyuga,,Jonin,Uchiha,80
Neji Hyuga,Leaf,Kage,Hyuga,91
Minato Namikaze,LEAF,Chunin,uchiha,
Hinata Hyuga,Sand,Rogue,Uzumaki,91
Sasuke Uchiha,Leaf,Kage,None,95
Gaara,,Rogue,Nara,
Kakashi Hatake,Sand,genin,Hyuga,??
Killer Bee,Cloud,,,92
Sasuke Uchiha,Sand,Genin,,80
Minato Namikaze,Mist,Genin,uchiha,150
Itachi Uchiha,Sand,Genin,Uchiha,??
Jiraiya, leaf,Rogue,Nara,-5
Itachi Uchiha,,Genin,,
Shikamaru Nara,Leaf,Rogue,Hyuga,??
Shikamaru Nara,Mist,genin,uchiha,72
Killer Bee,,Jonin,Uchiha,77
Minato Namikaze,sand,ANBU,Senju,
Tobirama Senju,LEAF,Chunin,Uchiha,85
Jiraiya,Sand,,Uchiha,
Killer Bee,Cloud,,Hyuga,
Hinata Hyuga,Sand,Rogue,Senju,
Kakashi Hatake,Cloud,,None,-5
Minato Namikaze,Sand,Rogue,Uchiha,??
Sakura Haruno,sand,Rogue,Senju,79
Rock Lee,Sand,genin,Hyuga,??
Killer Bee,Sand,Jonin,Hyuga,
Minato Namikaze, leaf,Jonin,uchiha,150
Minato Namikaze,sand,Chunin,Hyuga,-5
Gaara,Mist,,Uzumaki,150
Kakashi Hatake,Leaf,genin,Uchiha,150
Tobirama Senju,Cloud,Kage,uchiha,-5
Gaara,Leaf,Rogue,Nara,
Orochimaru,LEAF,Rogue,,
Neji Hyuga,Leaf,Jonin,Nara,-5
Neji Hyuga,,ANBU,uchiha,88
Hinata Hyuga,sand,Kage,Senju,74
Gaara,LEAF,Rogue,uchiha,
Hashirama Senju, leaf,genin,None,93
Minato Namikaze,Cloud,Genin,Hyuga,81
Neji Hyuga,Sand,genin,Senju,??
Sakura Haruno,Cloud,Kage,Hyuga,??
Minato Namikaze,sand,genin,,150
Killer Bee,Cloud,genin,Hyuga,85
Tobirama Senju,LEAF,genin,Hyuga,150
Madara Uchiha, leaf,,Uchiha,-5
Tsunade,,Chunin,Nara,-5
Orochimaru,LEAF,Rogue,,88
Tobirama Senju, leaf,,Hyuga,150
Itachi Uchiha,sand,Kage,Nara,84
Sasuke Uchiha, leaf,Kage,Uchiha,77
Itachi Uchiha,,Kage,Senju,150
Kakashi Hatake,,Kage,Senju,99
Obito Uchiha,Cloud,Kage,Uchiha,??
Neji Hyuga, leaf,Chunin,Senju,??
Kakashi Hatake,Sand,Jonin,Uzumaki,
Tsunade,sand,Kage,Uzumaki,??
Naruto Uzumaki,,genin,,-5
Killer Bee,Mist,Genin,,150
Jiraiya,Sand,ANBU,Uzumaki,150
Rock Lee, leaf,Jonin,,99
Might Guy,Cloud,ANBU,Uchiha,150
Neji Hyuga,Sand,Jonin,Uchiha,150
Tsunade,Cloud,Rogue,None,
Hinata Hyuga,,ANBU,Senju,??
Neji Hyuga,Mist,genin,None,??
Rock Lee,Sand,Chunin,Senju,-5
Jiraiya,sand,Jonin,None,
Obito Uchiha,Sand,Rogue,,96
Shikamaru Nara,Mist,Jonin,,73
Gaara,LEAF,genin,Uzumaki,71
Jiraiya,Cloud,,Uzumaki,
Madara Uchiha,Sand,genin,uchiha,-5
Killer Bee,Cloud,,Uchiha,??
Madara Uchiha,LEAF,genin,,95
Orochimaru,sand,genin,Nara,71
Naruto Uzumaki,Leaf,Rogue,uchiha,
Hinata Hyuga, leaf,Kage,uchiha,
Neji Hyuga,Sand,Genin,Hyuga,78
Tobirama Senju,Leaf,ANBU,Uchiha,95
Naruto Uzumaki,sand,genin,,??
Hashirama Senju,Sand,,None,95
Minato Namikaze,Leaf,Jonin,Hyuga,
Sakura Haruno,LEAF,genin,Hyuga,70
Sasuke Uchiha,LEAF,Rogue,Nara,??
Naruto Uzumaki,LEAF,Chunin,None,84
Might Guy,LEAF,,uchiha,150
Rock Lee,Sand,ANBU,uchiha,79
Gaara,,Rogue,Uchiha,
